"","scenario","decade","Region","RegionCode","s1","s2","s3","s4","s5","gQuints","gRao"
"1","SSP5",2015,1,"USA",3.32,8.685,14.38,22.485,51.175,43.7842970663202,40.58168
"2","SSP5",2025,1,"USA",2.59229922155231,8.06528680271845,14.0407460827433,22.5448896234987,52.803994365642,45.939506402068,42.580189
"3","SSP5",2035,1,"USA",2.13548452229453,7.50418934933678,13.6993866787721,22.5162566269852,54.193635215908,47.6280324042082,44.146008
"4","SSP5",2045,1,"USA",1.97713128573591,7.26570808522099,13.5482406165258,22.4894041224476,54.7691583771476,48.2991232020257,44.768345
"5","SSP5",2055,1,"USA",1.90921218519267,7.15489101890164,13.4770477702978,22.4746036034965,55.0342010066264,48.6035958805675,45.050701
"6","SSP5",2065,1,"USA",1.78745832257908,6.94180297472092,13.3386553019287,22.4425162522393,55.5401129526979,49.1775518260629,45.58297
"7","SSP5",2075,1,"USA",1.63738015034392,6.65024510173706,13.1465054467992,22.391841723661,56.2253588707912,49.9413860657517,46.291336
"8","SSP5",2085,1,"USA",1.45445413612074,6.24318456703898,12.8737314664034,22.310181443462,57.1708407680936,50.9732019818967,47.248241
"9","SSP5",2095,1,"USA",1.23850712219909,5.66943974069409,12.482173206386,22.1779071378053,58.4858047518192,52.3730316336749,48.546474
"10","SSP5",2105,1,"USA",1.12262675454685,5.30802485394955,12.2321118703077,22.0863217504802,59.3056266084218,53.2285962984922,49.339962
"11","SSP5",2015,2,"EUR",7.32377037335337,12.3065016827597,17.2948191752861,23.3892975766614,39.6856111919395,30.3225910124296,30.6653268198956
"12","SSP5",2025,2,"EUR",7.22225755379805,12.2784898751351,17.2534367823252,23.4206121589174,39.8252036298242,30.5392057743338,30.9453120842618
"13","SSP5",2035,2,"EUR",7.25810362208825,12.3295546883961,17.2519195733278,23.4086492884607,39.7517728277271,30.4265732045369,30.8004193635978
