Medium variant estimate of the 2017 version of the UN Population Prospects through 2100 for the RICE model regions.  Values remain constant after 2100.,,,,,,,,,,,,,
Note: 2005-2015 values correspond to initial population levels in RICE2010.,,,,,,,,,,,,,
,,,,,,,,,,,,,
RICE Period,Year,US,Europe,Japan,Russia,Eurasia,China,India,MidEast,Africa,LatAm,OHI,Oasia
1,2005-2015,296842.58,490080.19,127773.00,143150.00,155942.47,1304500.00,1094583.00,412769.00,763506.11,555380.08,129169.62,937195.57
2,2015-2025,331656.06,518739.975,126495.647,143786.842,171678.074,1448366.171,1383197.753,576095.027,1162614.559,664534.177,133483.764,1134832.903
3,2025-2035,354949.8,521648.8,121580.5,140543.418,176629.36,1465332.521,1512985.207,658531.185,1486753.926,718542.664,141849.703,1251850.1
4,2035-2045,374315.856,519961.808,115212.067,135836.501,179176.313,1441303.148,1605355.574,733482.587,1858448.265,757083.879,147266.916,1342892.588
5,2045-2055,389841.069,514008.22,108794.446,132730.511,180600.49,1387227.26,1658978.162,799561.948,2262903.011,779894.579,150014.558,1407266.937
6,2055-2065,404810.515,503931.307,102747.177,129695.944,179548.307,1310170.59,1678568.111,849213.224,2682158.742,787506.715,151259.796,1442986.437
7,2065-2075,419406.367,493688.993,96369.242,126393.174,176735.708,1228995.209,1665179.391,882972.249,3099200.627,781044.716,151948.988,1453910.275
8,2075-2085,431202.514,486166.933,91100.643,124675.359,173578.543,1154437.99,1626927.002,904889.347,3494557.911,763577.491,152192.698,1445400.148
9,2085-2095,440101.246,480819.165,87442.977,124512.823,170471.905,1090114.916,1574797.201,917640.258,3850554.423,739223.796,152444.274,1421930.649
10,2095-2105,447700.129,476350.353,84532.388,124012.605,166874.149,1037552.082,1516597.38,921540.258,4155012.3,712053.972,153084.533,1389056.076
11,2105-2115,447700.129,476350.353,84532.388,124012.605,166874.149,1037552.082,1516597.38,921540.258,4155012.3,712053.972,153084.533,1389056.076
12,2115-2025,447700.129,476350.353,84532.388,124012.605,166874.149,1037552.082,1516597.38,921540.258,4155012.3,712053.972,153084.533,1389056.076
13,2125-2135,447700.129,476350.353,84532.388,124012.605,166874.149,1037552.082,1516597.38,921540.258,4155012.3,712053.972,153084.533,1389056.076
14,2135-2145,447700.129,476350.353,84532.388,124012.605,166874.149,1037552.082,1516597.38,921540.258,4155012.3,712053.972,153084.533,1389056.076
15,2145-2155,447700.129,476350.353,84532.388,124012.605,166874.149,1037552.082,1516597.38,921540.258,4155012.3,712053.972,153084.533,1389056.076
16,2155-2165,447700.129,476350.353,84532.388,124012.605,166874.149,1037552.082,1516597.38,921540.258,4155012.3,712053.972,153084.533,1389056.076
17,2165-2175,447700.129,476350.353,84532.388,124012.605,166874.149,1037552.082,1516597.38,921540.258,4155012.3,712053.972,153084.533,1389056.076
18,2175-2185,447700.129,476350.353,84532.388,124012.605,166874.149,1037552.082,1516597.38,921540.258,4155012.3,712053.972,153084.533,1389056.076
19,2185-2195,447700.129,476350.353,84532.388,124012.605,166874.149,1037552.082,1516597.38,921540.258,4155012.3,712053.972,153084.533,1389056.076
20,2195-2205,447700.129,476350.353,84532.388,124012.605,166874.149,1037552.082,1516597.38,921540.258,4155012.3,712053.972,153084.533,1389056.076
21,2205-2215,447700.129,476350.353,84532.388,124012.605,166874.149,1037552.082,1516597.38,921540.258,4155012.3,712053.972,153084.533,1389056.076
22,2215-2225,447700.129,476350.353,84532.388,124012.605,166874.149,1037552.082,1516597.38,921540.258,4155012.3,712053.972,153084.533,1389056.076
23,2225-2235,447700.129,476350.353,84532.388,124012.605,166874.149,1037552.082,1516597.38,921540.258,4155012.3,712053.972,153084.533,1389056.076
24,2235-2245,447700.129,476350.353,84532.388,124012.605,166874.149,1037552.082,1516597.38,921540.258,4155012.3,712053.972,153084.533,1389056.076
25,2245-2255,447700.129,476350.353,84532.388,124012.605,166874.149,1037552.082,1516597.38,921540.258,4155012.3,712053.972,153084.533,1389056.076
26,2255-2265,447700.129,476350.353,84532.388,124012.605,166874.149,1037552.082,1516597.38,921540.258,4155012.3,712053.972,153084.533,1389056.076
27,2265-2275,447700.129,476350.353,84532.388,124012.605,166874.149,1037552.082,1516597.38,921540.258,4155012.3,712053.972,153084.533,1389056.076
28,2275-2285,447700.129,476350.353,84532.388,124012.605,166874.149,1037552.082,1516597.38,921540.258,4155012.3,712053.972,153084.533,1389056.076
29,2285-2295,447700.129,476350.353,84532.388,124012.605,166874.149,1037552.082,1516597.38,921540.258,4155012.3,712053.972,153084.533,1389056.076
30,2295-2305,447700.129,476350.353,84532.388,124012.605,166874.149,1037552.082,1516597.38,921540.258,4155012.3,712053.972,153084.533,1389056.076
31,2305-2315,447700.129,476350.353,84532.388,124012.605,166874.149,1037552.082,1516597.38,921540.258,4155012.3,712053.972,153084.533,1389056.076
32,2315-2325,447700.129,476350.353,84532.388,124012.605,166874.149,1037552.082,1516597.38,921540.258,4155012.3,712053.972,153084.533,1389056.076
33,2325-2335,447700.129,476350.353,84532.388,124012.605,166874.149,1037552.082,1516597.38,921540.258,4155012.3,712053.972,153084.533,1389056.076
34,2335-2345,447700.129,476350.353,84532.388,124012.605,166874.149,1037552.082,1516597.38,921540.258,4155012.3,712053.972,153084.533,1389056.076
