,scenario,decade,Region,RegionCode,s1,s2,s3,s4,s5,gQuints,gRao
1,Constant,2015,1,USA,3.32,8.685,14.38,22.485,51.175,43.78429707,40.567806
2,Constant,2025,1,USA,3.32,8.685,14.38,22.485,51.175,43.78429707,40.567806
3,Constant,2035,1,USA,3.32,8.685,14.38,22.485,51.175,43.78429707,40.567806
4,Constant,2045,1,USA,3.32,8.685,14.38,22.485,51.175,43.78429707,40.567806
5,Constant,2055,1,USA,3.32,8.685,14.38,22.485,51.175,43.78429707,40.567806
6,Constant,2065,1,USA,3.32,8.685,14.38,22.485,51.175,43.78429707,40.567806
7,Constant,2075,1,USA,3.32,8.685,14.38,22.485,51.175,43.78429707,40.567806
8,Constant,2085,1,USA,3.32,8.685,14.38,22.485,51.175,43.78429707,40.567806
9,Constant,2095,1,USA,3.32,8.685,14.38,22.485,51.175,43.78429707,40.567806
10,Constant,2105,1,USA,3.32,8.685,14.38,22.485,51.175,43.78429707,40.567806
11,Constant,2015,2,EUR,7.323770373,12.30650168,17.29481918,23.38929758,39.68561119,30.32259101,30.66743455
12,Constant,2025,2,EUR,7.323770373,12.30650168,17.29481918,23.38929758,39.68561119,30.32259101,30.66743455
13,Constant,2035,2,EUR,7.323770373,12.30650168,17.29481918,23.38929758,39.68561119,30.32259101,30.66743455
14,Constant,2045,2,EUR,7.323770373,12.30650168,17.29481918,23.38929758,39.68561119,30.32259101,30.66743455
15,Constant,2055,2,EUR,7.323770373,12.30650168,17.29481918,23.38929758,39.68561119,30.32259101,30.66743455
16,Constant,2065,2,EUR,7.323770373,12.30650168,17.29481918,23.38929758,39.68561119,30.32259101,30.66743455
17,Constant,2075,2,EUR,7.323770373,12.30650168,17.29481918,23.38929758,39.68561119,30.32259101,30.66743455
18,Constant,2085,2,EUR,7.323770373,12.30650168,17.29481918,23.38929758,39.68561119,30.32259101,30.66743455
19,Constant,2095,2,EUR,7.323770373,12.30650168,17.29481918,23.38929758,39.68561119,30.32259101,30.66743455
20,Constant,2105,2,EUR,7.323770373,12.30650168,17.29481918,23.38929758,39.68561119,30.32259101,30.66743455
21,Constant,2015,3,JPN,6.04,11.47,16.59,23.81,42.09,33.776,31.99610758
22,Constant,2025,3,JPN,6.04,11.47,16.59,23.81,42.09,33.776,31.99610758
23,Constant,2035,3,JPN,6.04,11.47,16.59,23.81,42.09,33.776,31.99610758
24,Constant,2045,3,JPN,6.04,11.47,16.59,23.81,42.09,33.776,31.99610758
25,Constant,2055,3,JPN,6.04,11.47,16.59,23.81,42.09,33.776,31.99610758
26,Constant,2065,3,JPN,6.04,11.47,16.59,23.81,42.09,33.776,31.99610758
27,Constant,2075,3,JPN,6.04,11.47,16.59,23.81,42.09,33.776,31.99610758
28,Constant,2085,3,JPN,6.04,11.47,16.59,23.81,42.09,33.776,31.99610758
29,Constant,2095,3,JPN,6.04,11.47,16.59,23.81,42.09,33.776,31.99610758
30,Constant,2105,3,JPN,6.04,11.47,16.59,23.81,42.09,33.776,31.99610758
31,Constant,2015,4,RUS,6.86,11.755,16.4475,23.0075,41.93,32.557,41.12369971
32,Constant,2025,4,RUS,6.86,11.755,16.4475,23.0075,41.93,32.557,41.12369971
33,Constant,2035,4,RUS,6.86,11.755,16.4475,23.0075,41.93,32.557,41.12369971
34,Constant,2045,4,RUS,6.86,11.755,16.4475,23.0075,41.93,32.557,41.12369971
