CountryA3,studyyear,Type,Exp.Inc,Q1FS,Q2FS,Q3FS,Q4FS,Q5FS,Study,Region,Country,pcGDP2014db,pcGDP,distyear,q1,q2,q3,q4,q5,e1,e2,e3,e4,e5,i1,i2,i3,i4,i5,costS1,costS2,costS3,costS4,costS5,ei1,ei2,ei3,ei4,ei5,Revision
CRI,2005,Direct,Exp,1.14,1.97,2.51,3.49,2.82,Sterner 2012,LatAm,Costa Rica,9019.107803,10953.9146,2005,4.36,8.845,13.34,21.0125,52.39,5.278348806,9.872496179,14.33488808,21.57297044,48.9412965,4.36,8.845,13.34,21.0125,52.39,2.190099917,7.078711164,13.0957091,27.40288996,50.23258985,5.278348806,9.872496179,14.33488808,21.57297044,48.9412965,0
MEX,2004,Direct,Inc,6.55,6.19,6.45,6.42,4.49,Sterner 2012,LatAm,Mexico,11807.34168,14367.57198,2004,4.492222222,8.718888889,12.97,19.90888889,53.89444444,5.100700951,9.389670719,13.62530196,20.29693166,51.58406138,4.200924191,8.387508171,12.64183674,19.71026635,55.04724232,5.146298387,9.710295007,15.25031138,23.66662559,46.22646964,4.200924191,8.387508171,12.64183674,19.71026635,55.04724232,0
BRA,2005,CGE,Exp,1,1,1,1,1,Lefevre 2016,LatAm,Brazil,8502.32443,10218.92739,2005,3.2075,6.785,10.945,18.835,60.2025,3.930236789,7.665405377,11.90487779,19.57334324,56.92613681,3.2075,6.785,10.945,18.835,60.2025,3.930236789,7.665405377,11.90487779,19.57334324,56.92613681,3.930236789,7.665405377,11.90487779,19.57334324,56.92613681,0
MLI,2000,IO,Exp,1.79,1.59,1.5,1.61,1.86,Sterner 2012,Africa,Mali,835.3819772,1327.491109,2002,6.27,10.31,14.69,22.24,46.5,6.27,10.31,14.69,22.24,46.5,5.203667244,9.280762587,13.73542175,21.76543533,50.01471309,6.527162926,9.533660255,12.8149506,20.82401848,50.30020774,6.27,10.31,14.69,22.24,46.5,0
KEN,2004,Direct,Exp,2.96,4.08,4.24,5.78,9.64,Sterner 2013,Africa,Kenya,1299.771115,2354.82166,2006,5.32,9.706666667,14.13333333,20.45333333,50.05333333,5.32,9.706666667,14.13333333,20.45333333,50.05333333,4.406886569,8.720996429,13.18938755,19.97458276,53.70814669,2.199298483,5.531094904,8.369341514,16.51097675,67.38928835,5.32,9.706666667,14.13333333,20.45333333,50.05333333,0
GHA,1998,Direct,Exp,0.9,1.26,1.38,1.84,2.74,Sterner 2014,Africa,Ghana,1050.996248,2159.803526,1999,5.77,10.32,15,22.74,46.17,5.77,10.32,15,22.74,46.17,4.787826556,9.28806647,14.02271418,22.2506988,49.65069399,2.50574686,6.274355396,9.988245717,20.18957401,61.04207802,5.77,10.32,15,22.74,46.17,0
ETH,2004,Direct,Exp,0.23,0.28,0.32,0.48,0.9,Sterner 2015,Africa,Ethiopia,564.6920888,645.448385,2005,9.37,13.04,16.88,21.38,39.32,9.37,13.04,16.88,21.38,39.32,7.893787141,11.91533983,16.02125341,21.23949174,42.93012788,3.790299745,6.421577852,9.500108164,18.04907991,62.23893433,9.37,13.04,16.88,21.38,39.32,0
IND,2004,IO,Exp,2.2,2.6,3.46,5.39,6.81,Sterner 2016,India,India,2074.472921,2479.217291,2005,6.3425,10.23,14.16875,20.72375,48.28375,6.651021117,10.60569894,14.56283308,21.01849608,47.16070079,5.527849234,9.545068762,13.60342813,20.52926069,50.54439318,2.776261683,5.231931319,9.560296508,21.49511609,60.9363944,6.651021117,10.60569894,14.56283308,21.01849608,47.16070079,0
IRN,2006,Direct,Exp,0.28,0.268,0.27,0.28,0.258,Sterner 2017,MidEast,Iran,9600.787558,10133.3405,2006,5.05,9.14,13.84,21.4,50.56,5.05,9.14,13.84,21.4,50.56,4.16266555,8.171642488,12.85270258,20.8010143,54.01197508,5.308445459,9.195999519,14.02871216,22.49519462,48.97164825,5.05,9.14,13.84,21.4,50.56,0
CZE,2005,CGE,Exp,0.0076,0.0078,0.0076,0.0077,0.0074,Sterner 2018,Eurasia,Czech Republic,21315.66735,24783.92016,2005,9.545,14.43,17.635,21.97,36.365,11.20393693,15.61640644,18.37365789,21.86935196,32.93664677,9.545,14.43,17.635,21.97,36.365,11.22279585,16.05434241,18.40458517,22.19440232,32.12387424,11.20393693,15.61640644,18.37365789,21.86935196,32.93664677,0
CZE,2005,Direct,Inc,3.8,3.4,3.1,3,2.8,Ekins et al 2011,Eurasia,Czech Republic,21315.66735,24783.92016,2005,9.545,14.43,17.635,21.97,36.365,11.20393693,15.61640644,18.37365789,21.86935196,32.93664677,9.545,14.43,17.635,21.97,36.365,11.78649708,15.94301563,17.76488423,21.41788268,33.08772038,9.545,14.43,17.635,21.97,36.365,0
