"","scenario","decade","Region","RegionCode","s1","s2","s3","s4","s5","Gini"
"1","moreInequality",2015,1,"USA",4.01684594264502,9.68822458541689,15.4436422323351,23.0718763394204,47.7794109001826,0.403635124309122
"2","moreInequality",2015,2,"EUR",8.47382650253571,13.3530973611887,18.1148266247592,23.3155997537631,36.7426497577533,0.266000596005995
"3","moreInequality",2015,3,"JPN",7.18970938563603,12.5879437639863,17.5284113515691,24.0349484174269,38.6589870813817,0.297542257103225
"4","moreInequality",2015,4,"RUS",8.15010779640806,12.8766440049541,17.3457336351683,23.1829282638747,38.4445862995948,0.283580985152303
"5","moreInequality",2015,5,"NRE",5.06043262198977,9.23894627148886,14.5023436048737,23.9325780331199,47.2656994685278,0.396416662503917
"6","moreInequality",2015,6,"CHN",6.29544132647623,12.4640376746833,17.6192610575579,24.010171179164,39.6110887621186,0.3127097188
"7","moreInequality",2015,7,"IND",7.12983827556108,11.0337246491672,14.890559287227,20.8955627991357,46.050314988909,0.350811143615703
"8","moreInequality",2015,8,"MEA",3.69853454146554,8.89309488818752,13.5538551968842,22.2550115655267,51.5995038079361,0.436655408852703
"9","moreInequality",2015,9,"AFR",2.979788600074,6.28861570733026,10.352264054785,18.99316379401,61.3861678438008,0.518069237207177
"10","moreInequality",2015,10,"LTM",4.35764146429962,8.89678583759335,13.9920005826524,21.1241427870401,51.6294293284145,0.427083732060423
"11","moreInequality",2015,11,"OHI",7.14503873364498,12.4554797660874,17.1922431868957,23.0856787787509,40.1215595346211,0.306332966605005
"12","moreInequality",2015,12,"NOA",4.80779218578025,8.74475906269074,13.1972811547531,22.4136020958302,50.8365655009457,0.422905576273171
"13","moreInequality",2025,1,"USA",3.56486461436981,9.3605291273491,15.2886093036749,23.1456904339727,48.6403065206335,0.415744195574907
"14","moreInequality",2025,2,"EUR",8.13500140580377,13.1490502098964,18.053631351374,23.410427674248,37.2518893586779,0.273980620876504
"15","moreInequality",2025,3,"JPN",6.81549123188782,12.3588550337841,17.4475366489944,24.1492698268279,39.2288472585059,0.306468520593007
"16","moreInequality",2025,4,"RUS",7.8022526675953,12.6578489002394,17.26101121936,23.2733216869276,39.0055655258776,0.292088415205701
"17","moreInequality",2025,5,"NRE",4.63151968640057,8.90326526913279,14.3245645225192,24.0377059836128,48.1029445383347,0.4083091412
"18","moreInequality",2025,6,"CHN",5.89744209198529,12.2292004544473,17.5390805388081,24.1217179640624,40.2125589506969,0.322091009604724
"19","moreInequality",2025,7,"IND",6.75400167848618,10.7578908855367,14.7304305627383,20.9155841800043,46.8420926932345,0.361335485925471
"20","moreInequality",2025,8,"MEA",3.24044367177237,8.53925233879124,13.3398354567488,22.3020265164506,52.578442016237,0.449755076702449
"21","moreInequality",2025,9,"AFR",2.51053478549795,5.84970582693568,10.0352636248141,18.9353903562158,62.6691054065366,0.533611313853879
"22","moreInequality",2025,10,"LTM",3.91275527908486,8.54743303215032,13.7955042195611,21.1416106900805,52.6026967791232,0.439896255482386
"23","moreInequality",2025,11,"OHI",6.76961272104978,12.2223289421397,17.1011952655723,23.1714339251831,40.7354291460552,0.31552295352778
"24","moreInequality",2025,12,"NOA",4.37296192838183,8.39314451655268,12.9792422713769,22.4720528406863,51.7825984430023,0.435592733769484
"25","moreInequality",2035,1,"USA",3.16374088034302,8.99892860644904,15.0996713121823,23.1855994656928,49.5520597353328,0.427853236260734
"26","moreInequality",2035,2,"EUR",7.8097241963387,12.9359711337595,17.9834041531442,23.4962236698883,37.7746768468693,0.281960643973724
"27","moreInequality",2035,3,"JPN",6.46075080930834,12.1167811494694,17.3536767923072,24.2506060821164,39.8181851667987,0.315394801129863
"28","moreInequality",2035,4,"RUS",7.46924435966688,12.4291559149351,17.1663909229622,23.353817229391,39.5813915730448,0.300595817292254
"29","moreInequality",2035,5,"NRE",4.23896062014585,8.54334835388706,14.122549527275,24.118598021216,48.9765434774762,0.420201645802016
"30","moreInequality",2035,6,"CHN",5.524604459746,11.9775888327102,17.4421256185572,24.2164903474597,40.8391907415269,0.331472291120306
"31","moreInequality",2035,7,"IND",6.39797663144111,10.4688494218863,14.5570941382297,20.9223978608529,47.6536819475899,0.3718598296
"32","moreInequality",2035,8,"MEA",2.83909074586303,8.14758449353907,13.0879904207575,22.3112161715186,53.6141181683218,0.462854752331553
"33","moreInequality",2035,9,"AFR",2.1151785428801,5.36153089856897,9.668998146871,18.8283518704495,64.0259405412305,0.549153382677988
