Quintile income shares for the RICE regions.,,,,,
,,,,,
RICE_region,quintile_1,quintile_2,quintile_3,quintile_4,quintile_5
US,5,10,16,23,46
Europe,3.8958,9.6661,16.22,24.114,46.104
Japan,7,13,17,23,40
Russia,6,11,15,21,47
Eurasia,2.8754,7.9205,13.185,22.355,53.665
China,5,10,15,23,47
India,8.9109,11.881,15.842,20.792,42.574
MidEast,4.5463,7.4902,11.759,18.192,58.013
Africa,2.1217,4.5885,9.0598,17.278,66.952
LatAm,2.8617,7.3781,12.503,21.063,56.194
OHI,7,12,17,23,41
Oasia,4.7459,8.1576,12.284,20.189,54.624
