x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
0,0,0,0,0,0,0,0,0,0,0,0
0.273683593,0.21411431,0.21411431,0.342828754,0.342828754,0.314691186,0.244811604,0.258123732,0.244811604,0.223113615,0.244811604,0.23325897
0.381673719,0.298599576,0.298599576,0.478102191,0.478102191,0.438862096,0.341409414,0.359974244,0.341409414,0.311149829,0.341409414,0.32529834
0.495850993,0.387925311,0.387925311,0.621125937,0.621125937,0.57014721,0.443541666,0.467660144,0.443541666,0.404229958,0.443541666,0.422610982
0.613728751,0.480146092,0.480146092,0.76878508,0.76878508,0.705687273,0.548984022,0.578836143,0.548984022,0.500326814,0.548984022,0.523077524
0.744377104,0.582357853,0.582357853,0.932441263,0.932441263,0.855911424,0.665849752,0.702056684,0.665849752,0.606834573,0.665849752,0.634428373
0.868763406,0.679670545,0.679670545,1,1,0.998935244,0.77711404,0.819371193,0.77711404,0.708237354,0.77711404,0.740442111
0.974939572,0.762736674,0.762736674,1,1,1,0.872089252,0.919510876,0.872089252,0.794794784,0.872089252,0.830935453
0.997507395,0.78039244,0.78039244,1,1,1,0.892276304,0.940795639,0.892276304,0.813192629,0.892276304,0.85016988
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
